film_id,titre,titre_normalise,genre_principal,nb_seances,nb_salles,lieux_ids,image_url,notes
F0123,"Kyma, l’onde mystérieuse",kyma-londe-mysterieuse,fiction,3,1,L148,https://fr.web.img6.acsta.net/img/c5/38/c53817b82f09f1a3546dd43904cfdaea.jpg,auto (3 séances / 1 salles)
F0124,La Règle du jeu,la-regle-du-jeu,patrimoine_retro,3,1,L128,https://fr.web.img3.acsta.net/pictures/22/03/21/14/47/5791881.jpg,auto (3 séances / 1 salles)
F0125,Le Berger et les ours,le-berger-et-les-ours,documentaire,3,1,L128,https://fr.web.img2.acsta.net/img/8a/22/8a22bf3670d6e30e9434ec9fd5aed923.jpg,auto (3 séances / 1 salles)
F0126,Les Tourouges et les Toubleus,les-tourouges-et-les-toubleus,animation_jeune_public,3,1,L127,https://fr.web.img3.acsta.net/pictures/23/06/27/16/09/1673570.jpg,auto (3 séances / 1 salles)
F0127,Nightborn,nightborn,fiction,3,1,L128,https://fr.web.img3.acsta.net/img/67/e4/67e46aeae8cd8f627262d4a1e3e05651.jpg,auto (3 séances / 1 salles)
F0128,Nimrods : A Green Day Comedy,nimrods-a-green-day-comedy,fiction,3,2,L139|L142,https://fr.web.img6.acsta.net/img/5b/e6/5be6dff936b1d7b7b4721f54ea06a700.png,auto (3 séances / 2 salles)
F0129,Oklahoma Honey (vf&vostfr),oklahoma-honey-vf-vostfr,fiction,3,1,L148,,auto (3 séances / 1 salles)
F0130,Projet dernière chance,projet-derniere-chance,fiction,3,1,L140,https://fr.web.img4.acsta.net/img/99/2a/992abd2d7fd54a1c00db5b43aee847d0.jpg,auto (3 séances / 1 salles)
F0131,Rita et Crocodile,rita-et-crocodile,animation_jeune_public,3,3,L125|L141|L147,https://fr.web.img5.acsta.net/pictures/17/10/23/09/41/4746507.jpg,auto (3 séances / 3 salles)
F0132,Seuls les rebelles,seuls-les-rebelles,fiction,3,1,L143,https://fr.web.img3.acsta.net/img/a8/59/a85973532048532206be1d8261d8e50c.jpg,auto (3 séances / 1 salles)
F0133,The Batman,the-batman,fiction,3,1,L140,https://fr.web.img5.acsta.net/pictures/22/02/16/17/42/3125788.jpg,auto (3 séances / 1 salles)
F0134,Tout en haut du monde,tout-en-haut-du-monde,animation_jeune_public,3,2,L127|L128,https://fr.web.img3.acsta.net/pictures/15/11/10/15/36/414149.jpg,auto (3 séances / 2 salles)
F0135,Undertone,undertone,fiction,3,1,L137,https://fr.web.img5.acsta.net/img/aa/09/aa097ecc9757a22dabfabc6469ce62f1.jpg,auto (3 séances / 1 salles)
