artiste_id,nom,nom_normalise,genre_principal,genres_secondaires,url_photo,notes
A0222,Magyd Cherfi,magyd-cherfi,chanson_variete,,,auto depuis programme (1 passages)
A0223,Stanislas,stanislas,chanson_variete,,,auto depuis programme (1 passages)
A0224,Jupiter & Okwess,jupiter-okwess,musiques_monde_trad,,,auto depuis programme (1 passages)
A0225,ROADRUNNERS,roadrunners,rock_metal_punk,,,auto depuis programme (1 passages)
A0226,63OG,63og,hiphop_rap,,,auto depuis programme (1 passages)
A0227,Spike and the Gimme Gimmes,spike-and-the-gimme-gimmes,rock_metal_punk,,,auto depuis programme (1 passages)
A0228,Colours in the Street,colours-in-the-street,chanson_variete,,,auto depuis programme (1 passages)
A0229,Florent Marchet,florent-marchet,chanson_variete,,,auto depuis programme (1 passages)
A0230,Knoll,knoll,rock_metal_punk,,,auto depuis programme (1 passages)
A0231,Imperial Triumphant,imperial-triumphant,rock_metal_punk,,,auto depuis programme (1 passages)
A0232,DINAA,dinaa,electro_techno,,,auto depuis programme (1 passages)
A0233,Malefino,malefino,electro_techno,,,auto depuis programme (1 passages)
A0234,Gaouta,gaouta,electro_techno,,,auto depuis programme (1 passages)
A0235,Rosa Crux,rosa-crux,electro_techno,,,auto depuis programme (1 passages)
A0236,Tribulation,tribulation,rock_metal_punk,,,auto depuis programme (1 passages)
A0237,Soen,soen,rock_metal_punk,,,auto depuis programme (1 passages)
A0238,JWLES,jwles,hiphop_rap,,,auto depuis programme (1 passages)
A0239,Changeline,changeline,rock_metal_punk,,,auto depuis programme (1 passages)
A0240,Solventis,solventis,rock_metal_punk,,,auto depuis programme (1 passages)
A0241,Esthesis,esthesis,rock_metal_punk,,,auto depuis programme (1 passages)
A0242,The Sexy Music Live Band,the-sexy-music-live-band,funk_soul_rnb,,,auto depuis programme (1 passages)
A0243,Theo Juice,theo-juice,funk_soul_rnb,,,auto depuis programme (1 passages)
A0244,Seth Gueko,seth-gueko,hiphop_rap,,,auto depuis programme (1 passages)
A0245,Tonique & Man,tonique-man,funk_soul_rnb,,,auto depuis programme (1 passages)
A0246,The Black Dahlia Murder,the-black-dahlia-murder,rock_metal_punk,,,auto depuis programme (1 passages)
A0247,Pestilence,pestilence,rock_metal_punk,,,auto depuis programme (1 passages)
A0248,Cryptic Shift,cryptic-shift,rock_metal_punk,,,auto depuis programme (1 passages)
A0249,Thus,thus,rock_metal_punk,,,auto depuis programme (1 passages)
A0250,DVRK,dvrk,rock_metal_punk,,,auto depuis programme (1 passages)
A0251,Obscura,obscura,rock_metal_punk,,,auto depuis programme (1 passages)
A0252,Revnoir,revnoir,rock_metal_punk,,,auto depuis programme (1 passages)
A0253,Eloiz,eloiz,chanson_variete,,,auto depuis programme (1 passages)
A0254,Cuarteto Tafi,cuarteto-tafi,guinguette_sorties,,,corrigé: P1679 pointait à tort vers A0219 Arottenbit
A0255,Candie,candie,guinguette_sorties,,,auto (1 passages)
A0256,Musique live (Candie),musique-live-candie,guinguette_sorties,,,auto (5 passages)
A0257,Aether,aether,classique_lyrique,,,auto (1 passages)
A0258,Kamilou (Festival d’été de Québec),kamilou-festival-dete-de-quebec,musique_autre,,,auto (1 passages)
A0259,Juste Shani,juste-shani,hiphop_rap,,,auto (2 passages)
A0260,Soirée Candie Pop,soiree-candie-pop,guinguette_sorties,,,auto (4 passages)
A0261,DJ set Candie,dj-set-candie,guinguette_sorties,,,auto (8 passages)
A0262,Tu Luz Habana,tu-luz-habana,guinguette_sorties,,,auto (1 passages)
A0263,LEON Show Man,leon-show-man,guinguette_sorties,,,auto (1 passages)
A0264,Concert La Cuma,concert-la-cuma,musique_autre,,,auto (1 passages)
A0265,Deeplodocus,deeplodocus,musique_autre,,,auto (1 passages)
A0266,Retro Fever,retro-fever,guinguette_sorties,,,auto (1 passages)
A0267,L'Esbrouf,lesbrouf,guinguette_sorties,,,auto (1 passages)
A0268,Pianomuses,pianomuses,classique_lyrique,,,auto (2 passages)
A0269,Lauréat Tremplin V and B Fest’ 2026,laureat-tremplin-v-and-b-fest-2026,musique_autre,,,auto (1 passages)
A0270,Moher,moher,guinguette_sorties,,,auto (1 passages)
A0271,Création FÔM,creation-fom,musiques_monde_trad,,,auto (1 passages)
A0272,Adelante Quintet,adelante-quintet,musiques_monde_trad,,,auto (1 passages)
A0273,Chers parents,chers-parents,humour_standup,,,auto (3 passages)
A0274,"Anne Roumanoff, L’âge libre",anne-roumanoff-lage-libre,humour_standup,,,auto (3 passages)
A0275,À vies contraires,a-vies-contraires,humour_standup,,,auto (2 passages)
A0276,Venise sous la neige,venise-sous-la-neige,humour_standup,,,auto (2 passages)
A0277,LE TAQUIN FETE SES 10 ANS #1,le-taquin-fete-ses-10-ans-1,funk_soul_rnb,,,auto (1 passages)
A0278,"Les Femmes ont toujours raison, les hommes n’ont jamais tort",les-femmes-ont-toujours-raison-les-hommes-nont-jamais-tort,humour_standup,,,auto (2 passages)
A0279,LE TAQUIN FETE SES 10 ANS #2,le-taquin-fete-ses-10-ans-2,funk_soul_rnb,,,auto (1 passages)
A0280,PLEIN PHARE,plein-phare,electro_techno,,,auto (1 passages)
A0281,REX TECHNO OPENING,rex-techno-opening,electro_techno,,,auto (1 passages)
A0282,Closing,closing,guinguette_sorties,,,auto (1 passages)
A0283,JAM#1 en mixité choisie,jam-1-en-mixite-choisie,jazz_blues,,,auto (1 passages)
A0284,Houriaa,houriaa,cirque_arts_rue,,,auto (1 passages)
A0285,"Psy, sex and fun",psy-sex-and-fun,humour_standup,,,auto (2 passages)
A0286,datziraGrain présente ECHO JAZZ,datziragrain-presente-echo-jazz,jazz_blues,,,auto (1 passages)
A0287,Sax Machines Foundation,sax-machines-foundation,cirque_arts_rue,,,auto (1 passages)
A0288,Vacances de rêve,vacances-de-reve,humour_standup,,,auto (3 passages)
A0289,Une semaine pas plus !,une-semaine-pas-plus,humour_standup,,,auto (2 passages)
A0290,Les Clotildes : Vive la mariée !,les-clotildes-vive-la-mariee,humour_standup,,,auto (1 passages)
A0291,En toutes amitiés,en-toutes-amities,humour_standup,,,auto (1 passages)
A0292,On est tous portés sur la question,on-est-tous-portes-sur-la-question,humour_standup,,,auto (1 passages)
A0293,Le Rex fête ses 10 ans,le-rex-fete-ses-10-ans,electro_techno,,,auto (1 passages)
A0294,Les Dents du Rire,les-dents-du-rire,humour_standup,,,auto (2 passages)
A0295,La Mòssa + Sollùna,la-mossa-solluna,musiques_monde_trad,,,auto (1 passages)
A0296,Bonjour Au Revoir joue les Beatles,bonjour-au-revoir-joue-les-beatles,chanson_variete,,,auto (1 passages)
A0297,Le meilleur de l’homme c’est sa femme,le-meilleur-de-lhomme-cest-sa-femme,humour_standup,,,auto (1 passages)
A0298,Divagueries sentimentales,divagueries-sentimentales,humour_standup,,,auto (1 passages)
A0299,Irina González JAM LATINA #2 Destination Brésil !,irina-gonzalez-jam-latina-2-destination-bresil,musiques_monde_trad,,,auto (1 passages)
