entity_id,kind,date,ville,lieu_nom,lieu_id,source_url,scope
F0001,film,2026-09-16,Plaisance-du-Touch,Ecran7 Plaisance,L145,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0918&gid_entity=movie.movie._.276608&tags=Localization.Language.French,Showtime.Accessibility.Dubbed,BoostPos.Image.2D,Format.Projection.Digital,Showtime.Accessibility.Accessible&perfd=20260916&perft=15:45",toulouse
F0041,film,2026-09-16,Plaisance-du-Touch,Ecran7 Plaisance,L145,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0918&gid_entity=movie.movie._.323826&tags=Localization.Language.French,Format.Projection.Digital,Showtime.Accessibility.Accessible&perfd=20260916&perft=15:45",toulouse
F0002,film,2026-09-16,Plaisance-du-Touch,Ecran7 Plaisance,L145,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0918&gid_entity=movie.movie._.1000013045&tags=Localization.Language.French,Showtime.Accessibility.Dubbed,Format.Projection.Digital,Showtime.Accessibility.Accessible&perfd=20260916&perft=17:45",toulouse
F0012,film,2026-09-16,Plaisance-du-Touch,Ecran7 Plaisance,L145,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0918&gid_entity=movie.movie._.327993&tags=Localization.Language.French,Format.Projection.Digital,Showtime.Accessibility.Accessible&perfd=20260916&perft=17:45",toulouse
F0014,film,2026-09-16,Plaisance-du-Touch,Ecran7 Plaisance,L145,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0918&gid_entity=movie.movie._.316021&tags=Localization.Version.Original,Format.Projection.Digital,Showtime.Accessibility.Accessible&perfd=20260916&perft=18:30",toulouse
F0005,film,2026-09-16,Plaisance-du-Touch,Ecran7 Plaisance,L145,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0918&gid_entity=movie.movie._.188280&tags=Localization.Version.Original,Format.Projection.Digital,Showtime.Accessibility.Accessible&perfd=20260916&perft=20:45",toulouse
F0003,film,2026-09-16,Plaisance-du-Touch,Ecran7 Plaisance,L145,"https://relay.mvtx.us/ticketing/dbz?code_theater=P0918&gid_entity=movie.movie._.1000014969&tags=Localization.Language.French,Showtime.Accessibility.Dubbed,Format.Projection.Digital,Showtime.Accessibility.Accessible&perfd=20260916&perft=21:00",toulouse
A0362,live,2026-09-16,Lasserre-Pradère,Café associatif Le Buv'Art,L153,https://foyerrurallasserrepradere.fr/agenda/agenda-culturel-le-buvart/cafe-lecture-8724724,toulouse
A0276,live,2026-09-17,Toulouse,Théâtre Les 3 T,L047,https://new.3tcafetheatre.com/spectacle/venise-sous-la-neige/,toulouse
A0002,live,2026-09-17,Toulouse,Théâtre Les 3 T,L047,https://new.3tcafetheatre.com/spectacle/les-faux-british/,toulouse
A0294,live,2026-09-17,Toulouse,Théâtre de Poche,L055,https://theatredepochetoulouse.fr/la-programmation-2/septembre/les-dents-du-rire/,toulouse
A0143,live,2026-09-17,Toulouse,Le Taquin,L075,https://billetterie.festik.net/le-taquin/product/feeling-the-spirit-of-grant-green,toulouse
A0430,live,2026-09-17,Toulouse,Le Bijou,L078,https://www.le-bijou.net/event-details/soiree-sharabia-lectures-poetiques-et-litteraires-impro-jazz-scene-ouverte,toulouse
A0003,live,2026-09-17,Toulouse,Les Jardins de Candie,L092,https://lesjardinsdecandie.com/,toulouse
F0027,film,2026-09-17,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13806,toulouse
F0040,film,2026-09-17,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13042,toulouse
F0034,film,2026-09-17,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13462,toulouse
F0044,film,2026-09-17,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film?id=13462,toulouse
F0026,film,2026-09-17,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13696,toulouse
F0018,film,2026-09-17,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13474,toulouse
F0010,film,2026-09-17,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13449,toulouse
F0012,film,2026-09-17,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13805,toulouse
F0033,film,2026-09-17,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=13754,toulouse
F0068,film,2026-09-17,Toulouse,Utopia Borderouge,L125,https://toulouse.cinemas-utopia.org/film/?id=14060,toulouse
